2025-03-21 08:50 - 2025-03-21 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-28 08:50 - 2025-03-28 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-04 08:50 - 2025-04-04 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-11 08:50 - 2025-04-11 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-18 08:50 - 2025-04-18 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-04-25 08:50 - 2025-04-25 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-02 08:50 - 2025-05-02 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-09 08:50 - 2025-05-09 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-16 08:50 - 2025-05-16 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-23 08:50 - 2025-05-23 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-05-30 08:50 - 2025-05-30 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-06-06 08:50 - 2025-06-06 09:40: Introduction to Industry (BCASemSecondm) at D1, Faculty: Divya Bhavani Mohan
2025-03-04 10:30 - 2025-03-04 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-11 10:30 - 2025-03-11 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-18 10:30 - 2025-03-18 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-03-25 10:30 - 2025-03-25 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
2025-04-01 10:30 - 2025-04-01 11:20: Data Structures and Algorithms (BCASemSecondm) at D1, Faculty: Dr. Kunjan Nayankumar Shah
